Epoch, Batch, Loss
[1/1],[894/938],1.4669
[1/1],[895/938],1.4905
[1/1],[896/938],1.5153
[1/1],[897/938],1.4884
[1/1],[898/938],1.4760
[1/1],[899/938],1.4983
[1/1],[900/938],1.4616
[1/1],[901/938],1.4934
[1/1],[902/938],1.4768
[1/1],[903/938],1.4637
[1/1],[904/938],1.4861
[1/1],[905/938],1.4743
[1/1],[906/938],1.4748
[1/1],[907/938],1.5010
[1/1],[908/938],1.4653
[1/1],[909/938],1.4809
[1/1],[910/938],1.4695
[1/1],[911/938],1.4803
[1/1],[912/938],1.4737
[1/1],[913/938],1.4774
[1/1],[914/938],1.4869
[1/1],[915/938],1.4675
[1/1],[916/938],1.4863
[1/1],[917/938],1.4908
[1/1],[918/938],1.4728
[1/1],[919/938],1.4817
[1/1],[920/938],1.4632
[1/1],[921/938],1.4966
[1/1],[922/938],1.4800
[1/1],[923/938],1.4744
[1/1],[924/938],1.4960
[1/1],[925/938],1.4885
[1/1],[926/938],1.4710
